127.0.0.1 - - [29/Mar/2021:21:13:00 +0000] "POST /wp-cron.php?doing_wp_cron=1617052379.8533499240875244140625 HTTP/1.1" 200 31 "http://tmp.deltahouse.test/wp-cron.php?doing_wp_cron=1617052379.8533499240875244140625" "WordPress/5.7; http://tmp.deltahouse.test"
192.168.50.1 - - [29/Mar/2021:21:26:11 +0000] "GET /wp-includes/css/buttons.css?ver=5.7 HTTP/1.1" 200 2510 "http://tmp.deltahouse.test/wp-login.php?redirect_to=http%3A%2F%2Ftmp.deltahouse.test%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.63"
192.168.50.1 - - [29/Mar/2021:21:26:11 +0000] "GET /wp-admin/css/login.css?ver=5.7 HTTP/1.1" 200 2267 "http://tmp.deltahouse.test/wp-login.php?redirect_to=http%3A%2F%2Ftmp.deltahouse.test%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.63"
192.168.50.1 - - [29/Mar/2021:21:26:11 +0000] "GET /wp-admin/css/l10n.css?ver=5.7 HTTP/1.1" 200 1088 "http://tmp.deltahouse.test/wp-login.php?redirect_to=http%3A%2F%2Ftmp.deltahouse.test%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.63"
192.168.50.1 - - [29/Mar/2021:21:26:11 +0000] "GET /wp-includes/js/jquery/jquery-migrate.js?ver=3.3.2 HTTP/1.1" 200 8167 "http://tmp.deltahouse.test/wp-login.php?redirect_to=http%3A%2F%2Ftmp.deltahouse.test%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.63"
192.168.50.1 - - [29/Mar/2021:21:26:11 +0000] "GET /wp-includes/js/zxcvbn-async.js?ver=1.0 HTTP/1.1" 200 452 "http://tmp.deltahouse.test/wp-login.php?redirect_to=http%3A%2F%2Ftmp.deltahouse.test%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.63"
192.168.50.1 - - [29/Mar/2021:21:26:11 +0000] "GET /wp-includes/js/jquery/jquery.js?ver=3.5.1 HTTP/1.1" 200 86184 "http://tmp.deltahouse.test/wp-login.php?redirect_to=http%3A%2F%2Ftmp.deltahouse.test%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.63"
192.168.50.1 - - [29/Mar/2021:21:26:11 +0000] "GET /wp-includes/js/dist/vendor/wp-polyfill.js?ver=7.4.4 HTTP/1.1" 200 61904 "http://tmp.deltahouse.test/wp-login.php?redirect_to=http%3A%2F%2Ftmp.deltahouse.test%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.63"
192.168.50.1 - - [29/Mar/2021:21:26:11 +0000] "GET /wp-admin/images/wordpress-logo.svg?ver=20131107 HTTP/1.1" 200 830 "http://tmp.deltahouse.test/wp-admin/css/login.css?ver=5.7" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.63"
192.168.50.1 - - [29/Mar/2021:21:26:11 +0000] "GET /wp-includes/js/dist/hooks.js?ver=50e23bed88bcb9e6e14023e9961698c1 HTTP/1.1" 200 6025 "http://tmp.deltahouse.test/wp-login.php?redirect_to=http%3A%2F%2Ftmp.deltahouse.test%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.63"
192.168.50.1 - - [29/Mar/2021:21:26:11 +0000] "GET /wp-includes/js/dist/i18n.js?ver=db9a9a37da262883343e941c3731bc67 HTTP/1.1" 200 11715 "http://tmp.deltahouse.test/wp-login.php?redirect_to=http%3A%2F%2Ftmp.deltahouse.test%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.63"
192.168.50.1 - - [29/Mar/2021:21:26:11 +0000] "GET /wp-admin/js/password-strength-meter.js?ver=5.7 HTTP/1.1" 200 1519 "http://tmp.deltahouse.test/wp-login.php?redirect_to=http%3A%2F%2Ftmp.deltahouse.test%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.63"
192.168.50.1 - - [29/Mar/2021:21:26:11 +0000] "GET /wp-includes/js/wp-util.js?ver=5.7 HTTP/1.1" 200 1535 "http://tmp.deltahouse.test/wp-login.php?redirect_to=http%3A%2F%2Ftmp.deltahouse.test%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.63"
192.168.50.1 - - [29/Mar/2021:21:26:11 +0000] "GET /wp-includes/js/underscore.min.js?ver=1.8.3 HTTP/1.1" 200 5700 "http://tmp.deltahouse.test/wp-login.php?redirect_to=http%3A%2F%2Ftmp.deltahouse.test%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.63"
192.168.50.1 - - [29/Mar/2021:21:26:11 +0000] "GET /wp-admin/js/user-profile.js?ver=5.7 HTTP/1.1" 200 4277 "http://tmp.deltahouse.test/wp-login.php?redirect_to=http%3A%2F%2Ftmp.deltahouse.test%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.63"
192.168.50.1 - - [29/Mar/2021:21:26:11 +0000] "GET /wp-includes/js/zxcvbn.min.js HTTP/1.1" 200 402216 "http://tmp.deltahouse.test/wp-login.php?redirect_to=http%3A%2F%2Ftmp.deltahouse.test%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.63"
192.168.50.1 - - [29/Mar/2021:21:26:22 +0000] "POST /wp-login.php HTTP/1.1" 200 2702 "http://tmp.deltahouse.test/wp-login.php?redirect_to=http%3A%2F%2Ftmp.deltahouse.test%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.63"
